Time(sec)	CellId	BwpId	txStreamId 	IMSI	rxStreamId	pathLoss(dB)
0	1	0	0	1	0	-80.2431
0	1	0	0	2	0	-75.0716
0	1	0	0	3	0	-67.1306
0	1	0	0	4	0	-68.5977
0	1	0	0	5	0	-69.6522
0	1	0	0	6	0	-72.1325
0	1	0	0	7	0	-70.973
0	1	0	0	8	0	-57.593
0	1	0	0	9	0	-68.731
0	1	0	0	10	0	-85.0489
0	1	0	0	11	0	-66.4076
0	1	0	0	12	0	-61.6263
0	1	0	0	13	0	-83.3295
0	1	0	0	14	0	-64.8962
0	1	0	0	15	0	-56.6428
0.005	1	0	0	1	0	-76.8842
0.005	1	0	0	2	0	-62.6137
0.005	1	0	0	3	0	-71.5877
0.005	1	0	0	4	0	-70.3369
0.005	1	0	0	5	0	-61.927
0.005	1	0	0	6	0	-73.0854
0.005	1	0	0	7	0	-84.5998
0.005	1	0	0	8	0	-60.9151
0.005	1	0	0	9	0	-61.7209
0.005	1	0	0	10	0	-69.953
0.005	1	0	0	11	0	-72.3059
0.005	1	0	0	12	0	-70.3322
0.005	1	0	0	13	0	-67.1333
0.005	1	0	0	14	0	-71.606
0.005	1	0	0	15	0	-55.6931
0.01	1	0	0	1	0	-76.8842
0.01	1	0	0	2	0	-62.6137
0.01	1	0	0	3	0	-71.5877
0.01	1	0	0	4	0	-70.3369
0.01	1	0	0	5	0	-61.927
0.01	1	0	0	6	0	-73.0854
0.01	1	0	0	7	0	-84.5998
0.01	1	0	0	8	0	-60.9151
0.01	1	0	0	9	0	-61.7209
0.01	1	0	0	10	0	-69.953
0.01	1	0	0	11	0	-72.3059
0.01	1	0	0	12	0	-70.3322
0.01	1	0	0	13	0	-67.1333
0.01	1	0	0	14	0	-71.606
0.01	1	0	0	15	0	-55.6931
0.015	1	0	0	1	0	-76.8842
0.015	1	0	0	2	0	-62.6137
0.015	1	0	0	3	0	-71.5877
0.015	1	0	0	4	0	-70.3369
0.015	1	0	0	5	0	-61.927
0.015	1	0	0	6	0	-73.0854
0.015	1	0	0	7	0	-84.5998
0.015	1	0	0	8	0	-60.9151
0.015	1	0	0	9	0	-61.7209
0.015	1	0	0	10	0	-69.953
0.015	1	0	0	11	0	-72.3059
0.015	1	0	0	12	0	-70.3322
0.015	1	0	0	13	0	-67.1333
0.015	1	0	0	14	0	-71.606
0.015	1	0	0	15	0	-55.6931
0.018	1	0	0	1	0	-76.8842
0.018	1	0	0	2	0	-62.6137
0.018	1	0	0	3	0	-71.5877
0.018	1	0	0	4	0	-70.3369
0.018	1	0	0	5	0	-61.927
0.018	1	0	0	6	0	-73.0854
0.018	1	0	0	7	0	-84.5998
0.018	1	0	0	8	0	-60.9151
0.018	1	0	0	9	0	-61.7209
0.018	1	0	0	10	0	-69.953
0.018	1	0	0	11	0	-72.3059
0.018	1	0	0	12	0	-70.3322
0.018	1	0	0	13	0	-67.1333
0.018	1	0	0	14	0	-71.606
0.018	1	0	0	15	0	-55.6931
0.02	1	0	0	1	0	-76.8842
0.02	1	0	0	2	0	-62.6137
0.02	1	0	0	3	0	-71.5877
0.02	1	0	0	4	0	-70.3369
0.02	1	0	0	5	0	-61.927
0.02	1	0	0	6	0	-73.0854
0.02	1	0	0	7	0	-84.5998
0.02	1	0	0	8	0	-60.9151
0.02	1	0	0	9	0	-61.7209
0.02	1	0	0	10	0	-69.953
0.02	1	0	0	11	0	-72.3059
0.02	1	0	0	12	0	-70.3322
0.02	1	0	0	13	0	-67.1333
0.02	1	0	0	14	0	-71.606
0.02	1	0	0	15	0	-55.6931
0.025	1	0	0	1	0	-76.8842
0.025	1	0	0	2	0	-62.6137
0.025	1	0	0	3	0	-71.5877
0.025	1	0	0	4	0	-70.3369
0.025	1	0	0	5	0	-61.927
0.025	1	0	0	6	0	-73.0854
0.025	1	0	0	7	0	-84.5998
0.025	1	0	0	8	0	-60.9151
0.025	1	0	0	9	0	-61.7209
0.025	1	0	0	10	0	-69.953
0.025	1	0	0	11	0	-72.3059
0.025	1	0	0	12	0	-70.3322
0.025	1	0	0	13	0	-67.1333
0.025	1	0	0	14	0	-71.606
0.025	1	0	0	15	0	-55.6931
0.03	1	0	0	1	0	-76.8842
0.03	1	0	0	2	0	-62.6137
0.03	1	0	0	3	0	-71.5877
0.03	1	0	0	4	0	-70.3369
0.03	1	0	0	5	0	-61.927
0.03	1	0	0	6	0	-73.0854
0.03	1	0	0	7	0	-84.5998
0.03	1	0	0	8	0	-60.9151
0.03	1	0	0	9	0	-61.7209
0.03	1	0	0	10	0	-69.953
0.03	1	0	0	11	0	-72.3059
0.03	1	0	0	12	0	-70.3322
0.03	1	0	0	13	0	-67.1333
0.03	1	0	0	14	0	-71.606
0.03	1	0	0	15	0	-55.6931
0.035	1	0	0	1	0	-76.8842
0.035	1	0	0	2	0	-62.6137
0.035	1	0	0	3	0	-71.5877
0.035	1	0	0	4	0	-70.3369
0.035	1	0	0	5	0	-61.927
0.035	1	0	0	6	0	-73.0854
0.035	1	0	0	7	0	-84.5998
0.035	1	0	0	8	0	-60.9151
0.035	1	0	0	9	0	-61.7209
0.035	1	0	0	10	0	-69.953
0.035	1	0	0	11	0	-72.3059
0.035	1	0	0	12	0	-70.3322
0.035	1	0	0	13	0	-67.1333
0.035	1	0	0	14	0	-71.606
0.035	1	0	0	15	0	-55.6931
0.04	1	0	0	1	0	-76.8842
0.04	1	0	0	2	0	-62.6137
0.04	1	0	0	3	0	-71.5877
0.04	1	0	0	4	0	-70.3369
0.04	1	0	0	5	0	-61.927
0.04	1	0	0	6	0	-73.0854
0.04	1	0	0	7	0	-84.5998
0.04	1	0	0	8	0	-60.9151
0.04	1	0	0	9	0	-61.7209
0.04	1	0	0	10	0	-69.953
0.04	1	0	0	11	0	-72.3059
0.04	1	0	0	12	0	-70.3322
0.04	1	0	0	13	0	-67.1333
0.04	1	0	0	14	0	-71.606
0.04	1	0	0	15	0	-55.6931
0.045	1	0	0	1	0	-76.8842
0.045	1	0	0	2	0	-62.6137
0.045	1	0	0	3	0	-71.5877
0.045	1	0	0	4	0	-70.3369
0.045	1	0	0	5	0	-61.927
0.045	1	0	0	6	0	-73.0854
0.045	1	0	0	7	0	-84.5998
0.045	1	0	0	8	0	-60.9151
0.045	1	0	0	9	0	-61.7209
0.045	1	0	0	10	0	-69.953
0.045	1	0	0	11	0	-72.3059
0.045	1	0	0	12	0	-70.3322
0.045	1	0	0	13	0	-67.1333
0.045	1	0	0	14	0	-71.606
0.045	1	0	0	15	0	-55.6931
0.05	1	0	0	1	0	-76.8842
0.05	1	0	0	2	0	-62.6137
