% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	stream	harqId	ndi	rv	mcs	tbSize
0.1015	1	0	12	14	10	3	1	1	1	0	19	1	0	12	57
0.1015	1	0	13	15	10	3	1	1	1	0	19	1	0	12	57
0.1015	1	0	14	2	10	3	1	2	1	0	19	1	0	12	57
0.1015	1	0	15	1	10	3	1	2	1	0	19	1	0	12	57
0.1015	1	0	2	4	10	3	1	3	1	0	19	1	0	12	57
0.1015	1	0	1	3	10	3	1	3	1	0	19	1	0	12	57
0.1015	1	0	4	6	10	3	1	4	1	0	19	1	0	12	57
0.1015	1	0	3	5	10	3	1	4	1	0	19	1	0	12	57
0.1015	1	0	6	8	10	3	1	5	1	0	19	1	0	12	57
0.1015	1	0	5	7	10	3	1	5	1	0	19	1	0	12	57
0.1015	1	0	8	10	10	3	1	6	1	0	19	1	0	12	57
0.1015	1	0	7	9	10	3	1	6	1	0	19	1	0	12	57
0.1015	1	0	10	12	10	3	1	7	1	0	19	1	0	12	57
0.1015	1	0	9	11	10	3	1	7	1	0	19	1	0	12	57
0.1015	1	0	11	13	10	3	1	8	1	0	19	1	0	12	57
0.158	1	0	12	14	16	0	0	1	1	0	19	1	0	12	57
0.158	1	0	13	15	16	0	0	1	1	0	19	1	0	12	57
0.158	1	0	14	2	16	0	0	2	1	0	19	1	0	12	57
0.158	1	0	15	1	16	0	0	2	1	0	19	1	0	12	57
0.158	1	0	2	4	16	0	0	3	1	0	19	1	0	12	57
0.158	1	0	1	3	16	0	0	3	1	0	19	1	0	12	57
0.158	1	0	4	6	16	0	0	4	1	0	19	1	0	12	57
0.158	1	0	3	5	16	0	0	4	1	0	19	1	0	12	57
0.158	1	0	6	8	16	0	0	5	1	0	19	1	0	12	57
0.158	1	0	5	7	16	0	0	5	1	0	19	1	0	12	57
0.158	1	0	8	10	16	0	0	6	1	0	19	1	0	12	57
0.158	1	0	7	9	16	0	0	6	1	0	19	1	0	12	57
0.158	1	0	10	12	16	0	0	7	1	0	19	1	0	12	57
0.158	1	0	9	11	16	0	0	7	1	0	19	1	0	12	57
0.158	1	0	11	13	16	0	0	8	1	0	19	1	0	12	57
0.168	1	0	12	14	17	0	0	1	1	0	19	1	0	12	57
0.168	1	0	13	15	17	0	0	1	1	0	19	1	0	12	57
0.168	1	0	14	2	17	0	0	2	1	0	19	1	0	12	57
