time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.103671	2	14	3	34	0.00113571
0.103671	2	15	3	34	0.00113571
0.103707	2	2	3	34	0.00117143
0.103707	2	1	3	34	0.00117143
0.103743	2	3	3	34	0.00120714
0.103743	2	4	3	34	0.00120714
0.103779	2	5	3	34	0.00124286
0.103779	2	6	3	34	0.00124286
0.103814	2	7	3	34	0.00127857
0.103814	2	8	3	34	0.00127857
0.10385	2	9	3	34	0.00131428
0.10385	2	10	3	34	0.00131428
0.103886	2	11	3	34	0.00135
0.103886	2	12	3	34	0.00135
0.103921	2	13	3	34	0.00138571
0.160171	2	14	3	34	0.000171427
0.160171	2	15	3	34	0.000171427
0.160207	2	2	3	34	0.000207141
0.160207	2	1	3	34	0.000207141
0.160243	2	3	3	34	0.000242855
0.160243	2	4	3	34	0.000242855
0.160279	2	5	3	34	0.000278569
0.160279	2	6	3	34	0.000278569
0.160314	2	7	3	34	0.000314283
0.160314	2	8	3	34	0.000314283
0.16035	2	9	3	34	0.000349997
0.16035	2	10	3	34	0.000349997
0.160386	2	11	3	34	0.000385711
0.160386	2	12	3	34	0.000385711
0.160421	2	13	3	34	0.000421425
0.170171	2	14	3	34	0.000171427
0.170171	2	15	3	34	0.000171427
0.170207	2	2	3	34	0.000207141
0.170207	2	1	3	34	0.000207141
0.170243	2	3	3	34	0.000242855
0.170243	2	4	3	34	0.000242855
0.170279	2	5	3	34	0.000278569
0.170279	2	6	3	34	0.000278569
0.170314	2	7	3	34	0.000314283
0.170314	2	8	3	34	0.000314283
0.17035	2	9	3	34	0.000349997
0.17035	2	10	3	34	0.000349997
0.170386	2	11	3	34	0.000385711
0.170386	2	12	3	34	0.000385711
0.170421	2	13	3	34	0.000421425
0.180171	2	14	3	34	0.000171427
0.180171	2	15	3	34	0.000171427
0.180207	2	2	3	34	0.000207141
0.180207	2	1	3	34	0.000207141
0.180243	2	3	3	34	0.000242855
0.180243	2	4	3	34	0.000242855
0.180279	2	5	3	34	0.000278569
0.180279	2	6	3	34	0.000278569
0.180314	2	7	3	34	0.000314283
0.180314	2	8	3	34	0.000314283
0.18035	2	9	3	34	0.000349997
0.18035	2	10	3	34	0.000349997
0.180386	2	11	3	34	0.000385711
0.180386	2	12	3	34	0.000385711
0.180421	2	13	3	34	0.000421425
0.190171	2	14	3	34	0.000171427
0.190171	2	15	3	34	0.000171427
0.190207	2	2	3	34	0.000207141
0.190207	2	1	3	34	0.000207141
0.190243	2	3	3	34	0.000242855
0.190243	2	4	3	34	0.000242855
0.190279	2	5	3	34	0.000278569
0.190279	2	6	3	34	0.000278569
0.190314	2	7	3	34	0.000314283
0.190314	2	8	3	34	0.000314283
0.19035	2	9	3	34	0.000349997
0.19035	2	10	3	34	0.000349997
0.190386	2	11	3	34	0.000385711
0.190386	2	12	3	34	0.000385711
0.190421	2	13	3	34	0.000421425
0.200171	2	14	3	34	0.000171427
0.200171	2	15	3	34	0.000171427
0.200207	2	2	3	34	0.000207141
0.200207	2	1	3	34	0.000207141
0.200243	2	3	3	34	0.000242855
0.200243	2	4	3	34	0.000242855
0.200279	2	5	3	34	0.000278569
0.200279	2	6	3	34	0.000278569
0.200314	2	7	3	34	0.000314283
0.200314	2	8	3	34	0.000314283
0.20035	2	9	3	34	0.000349997
0.20035	2	10	3	34	0.000349997
0.200386	2	11	3	34	0.000385711
0.200386	2	12	3	34	0.000385711
0.200421	2	13	3	34	0.000421425
0.210171	2	14	3	34	0.000171427
0.210171	2	15	3	34	0.000171427
0.210207	2	2	3	34	0.000207141
0.210207	2	1	3	34	0.000207141
0.210243	2	3	3	34	0.000242855
0.210243	2	4	3	34	0.000242855
0.210279	2	5	3	34	0.000278569
0.210279	2	6	3	34	0.000278569
0.210314	2	7	3	34	0.000314283
0.210314	2	8	3	34	0.000314283
0.21035	2	9	3	34	0.000349997
0.21035	2	10	3	34	0.000349997
0.210386	2	11	3	34	0.000385711
0.210386	2	12	3	34	0.000385711
0.210421	2	13	3	34	0.000421425
0.220171	2	14	3	34	0.000171427
0.220171	2	15	3	34	0.000171427
0.220207	2	2	3	34	0.000207141
0.220207	2	1	3	34	0.000207141
0.220243	2	3	3	34	0.000242855
0.220243	2	4	3	34	0.000242855
0.220279	2	5	3	34	0.000278569
0.220279	2	6	3	34	0.000278569
0.220314	2	7	3	34	0.000314283
0.220314	2	8	3	34	0.000314283
0.22035	2	9	3	34	0.000349997
0.22035	2	10	3	34	0.000349997
0.220386	2	11	3	34	0.000385711
0.220386	2	12	3	34	0.000385711
0.220421	2	13	3	34	0.000421425
0.230171	2	14	3	34	0.000171427
0.230171	2	15	3	34	0.000171427
0.230207	2	2	3	34	0.000207141
0.230207	2	1	3	34	0.000207141
0.230243	2	3	3	34	0.000242855
0.230243	2	4	3	34	0.000242855
0.230279	2	5	3	34	0.000278569
0.230279	2	6	3	34	0.000278569
0.230314	2	7	3	34	0.000314283
0.230314	2	8	3	34	0.000314283
0.23035	2	9	3	34	0.000349997
0.23035	2	10	3	34	0.000349997
0.230386	2	11	3	34	0.000385711
0.230386	2	12	3	34	0.000385711
0.230421	2	13	3	34	0.000421425
0.240171	2	14	3	34	0.000171427
0.240171	2	15	3	34	0.000171427
0.240207	2	2	3	34	0.000207141
0.240207	2	1	3	34	0.000207141
0.240243	2	3	3	34	0.000242855
0.240243	2	4	3	34	0.000242855
0.240279	2	5	3	34	0.000278569
0.240279	2	6	3	34	0.000278569
0.240314	2	7	3	34	0.000314283
0.240314	2	8	3	34	0.000314283
0.24035	2	9	3	34	0.000349997
0.24035	2	10	3	34	0.000349997
0.240386	2	11	3	34	0.000385711
0.240386	2	12	3	34	0.000385711
0.240421	2	13	3	34	0.000421425
0.250171	2	14	3	34	0.000171427
0.250171	2	15	3	34	0.000171427
0.250207	2	2	3	34	0.000207141
0.250207	2	1	3	34	0.000207141
0.250243	2	3	3	34	0.000242855
0.250243	2	4	3	34	0.000242855
0.250279	2	5	3	34	0.000278569
0.250279	2	6	3	34	0.000278569
0.250314	2	7	3	34	0.000314283
0.250314	2	8	3	34	0.000314283
0.25035	2	9	3	34	0.000349997
0.25035	2	10	3	34	0.000349997
0.250386	2	11	3	34	0.000385711
0.250386	2	12	3	34	0.000385711
0.250421	2	13	3	34	0.000421425
0.260171	2	14	3	34	0.000171427
0.260171	2	15	3	34	0.000171427
0.260207	2	2	3	34	0.000207141
0.260207	2	1	3	34	0.000207141
0.260243	2	3	3	34	0.000242855
0.260243	2	4	3	34	0.000242855
0.260279	2	5	3	34	0.000278569
0.260279	2	6	3	34	0.000278569
0.260314	2	7	3	34	0.000314283
0.260314	2	8	3	34	0.000314283
0.26035	2	9	3	34	0.000349997
0.26035	2	10	3	34	0.000349997
0.260386	2	11	3	34	0.000385711
0.260386	2	12	3	34	0.000385711
0.260421	2	13	3	34	0.000421425
0.270171	2	14	3	34	0.000171427
0.270171	2	15	3	34	0.000171427
0.270207	2	2	3	34	0.000207141
0.270207	2	1	3	34	0.000207141
0.270243	2	3	3	34	0.000242855
0.270243	2	4	3	34	0.000242855
0.270279	2	5	3	34	0.000278569
0.270279	2	6	3	34	0.000278569
0.270314	2	7	3	34	0.000314283
0.270314	2	8	3	34	0.000314283
0.27035	2	9	3	34	0.000349997
0.27035	2	10	3	34	0.000349997
0.270386	2	11	3	34	0.000385711
0.270386	2	12	3	34	0.000385711
0.270421	2	13	3	34	0.000421425
0.280171	2	14	3	34	0.000171427
0.280171	2	15	3	34	0.000171427
0.280207	2	2	3	34	0.000207141
0.280207	2	1	3	34	0.000207141
0.280243	2	3	3	34	0.000242855
0.280243	2	4	3	34	0.000242855
0.280279	2	5	3	34	0.000278569
0.280279	2	6	3	34	0.000278569
0.280314	2	7	3	34	0.000314283
0.280314	2	8	3	34	0.000314283
0.28035	2	9	3	34	0.000349997
0.28035	2	10	3	34	0.000349997
0.280386	2	11	3	34	0.000385711
0.280386	2	12	3	34	0.000385711
0.280421	2	13	3	34	0.000421425
0.290171	2	14	3	34	0.000171427
0.290171	2	15	3	34	0.000171427
0.290207	2	2	3	34	0.000207141
0.290207	2	1	3	34	0.000207141
0.290243	2	3	3	34	0.000242855
0.290243	2	4	3	34	0.000242855
0.290279	2	5	3	34	0.000278569
0.290279	2	6	3	34	0.000278569
0.290314	2	7	3	34	0.000314283
0.290314	2	8	3	34	0.000314283
0.29035	2	9	3	34	0.000349997
0.29035	2	10	3	34	0.000349997
0.290386	2	11	3	34	0.000385711
0.290386	2	12	3	34	0.000385711
0.290421	2	13	3	34	0.000421425
0.300171	2	14	3	34	0.000171427
0.300171	2	15	3	34	0.000171427
0.300207	2	2	3	34	0.000207141
0.300207	2	1	3	34	0.000207141
0.300243	2	3	3	34	0.000242855
0.300243	2	4	3	34	0.000242855
0.300279	2	5	3	34	0.000278569
0.300279	2	6	3	34	0.000278569
0.300314	2	7	3	34	0.000314283
0.300314	2	8	3	34	0.000314283
0.30035	2	9	3	34	0.000349997
0.30035	2	10	3	34	0.000349997
0.300386	2	11	3	34	0.000385711
0.300386	2	12	3	34	0.000385711
0.300421	2	13	3	34	0.000421425
0.310171	2	14	3	34	0.000171427
0.310171	2	15	3	34	0.000171427
0.310207	2	2	3	34	0.000207141
0.310207	2	1	3	34	0.000207141
0.310243	2	3	3	34	0.000242855
0.310243	2	4	3	34	0.000242855
0.310279	2	5	3	34	0.000278569
0.310279	2	6	3	34	0.000278569
0.310314	2	7	3	34	0.000314283
0.310314	2	8	3	34	0.000314283
0.31035	2	9	3	34	0.000349997
0.31035	2	10	3	34	0.000349997
0.310386	2	11	3	34	0.000385711
0.310386	2	12	3	34	0.000385711
0.310421	2	13	3	34	0.000421425
0.320171	2	14	3	34	0.000171427
0.320171	2	15	3	34	0.000171427
0.320207	2	2	3	34	0.000207141
0.320207	2	1	3	34	0.000207141
0.320243	2	3	3	34	0.000242855
0.320243	2	4	3	34	0.000242855
0.320279	2	5	3	34	0.000278569
0.320279	2	6	3	34	0.000278569
0.320314	2	7	3	34	0.000314283
0.320314	2	8	3	34	0.000314283
0.32035	2	9	3	34	0.000349997
0.32035	2	10	3	34	0.000349997
0.320386	2	11	3	34	0.000385711
0.320386	2	12	3	34	0.000385711
0.320421	2	13	3	34	0.000421425
0.330171	2	14	3	34	0.000171427
0.330171	2	15	3	34	0.000171427
0.330207	2	2	3	34	0.000207141
0.330207	2	1	3	34	0.000207141
0.330243	2	3	3	34	0.000242855
0.330243	2	4	3	34	0.000242855
0.330279	2	5	3	34	0.000278569
0.330279	2	6	3	34	0.000278569
0.330314	2	7	3	34	0.000314283
0.330314	2	8	3	34	0.000314283
0.33035	2	9	3	34	0.000349997
0.33035	2	10	3	34	0.000349997
0.330386	2	11	3	34	0.000385711
0.330386	2	12	3	34	0.000385711
0.330421	2	13	3	34	0.000421425
0.340171	2	14	3	34	0.000171427
0.340171	2	15	3	34	0.000171427
0.340207	2	2	3	34	0.000207141
0.340207	2	1	3	34	0.000207141
0.340243	2	3	3	34	0.000242855
0.340243	2	4	3	34	0.000242855
0.340279	2	5	3	34	0.000278569
0.340279	2	6	3	34	0.000278569
0.340314	2	7	3	34	0.000314283
0.340314	2	8	3	34	0.000314283
0.34035	2	9	3	34	0.000349997
0.34035	2	10	3	34	0.000349997
0.340386	2	11	3	34	0.000385711
0.340386	2	12	3	34	0.000385711
0.340421	2	13	3	34	0.000421425
0.350171	2	14	3	34	0.000171427
0.350171	2	15	3	34	0.000171427
0.350207	2	2	3	34	0.000207141
0.350207	2	1	3	34	0.000207141
0.350243	2	3	3	34	0.000242855
0.350243	2	4	3	34	0.000242855
0.350279	2	5	3	34	0.000278569
0.350279	2	6	3	34	0.000278569
0.350314	2	7	3	34	0.000314283
0.350314	2	8	3	34	0.000314283
0.35035	2	9	3	34	0.000349997
0.35035	2	10	3	34	0.000349997
0.350386	2	11	3	34	0.000385711
0.350386	2	12	3	34	0.000385711
0.350421	2	13	3	34	0.000421425
0.360171	2	14	3	34	0.000171427
0.360171	2	15	3	34	0.000171427
0.360207	2	2	3	34	0.000207141
0.360207	2	1	3	34	0.000207141
0.360243	2	3	3	34	0.000242855
0.360243	2	4	3	34	0.000242855
0.360279	2	5	3	34	0.000278569
0.360279	2	6	3	34	0.000278569
0.360314	2	7	3	34	0.000314283
0.360314	2	8	3	34	0.000314283
0.36035	2	9	3	34	0.000349997
0.36035	2	10	3	34	0.000349997
0.360386	2	11	3	34	0.000385711
0.360386	2	12	3	34	0.000385711
0.360421	2	13	3	34	0.000421425
0.370171	2	14	3	34	0.000171427
0.370171	2	15	3	34	0.000171427
0.370207	2	2	3	34	0.000207141
0.370207	2	1	3	34	0.000207141
0.370243	2	3	3	34	0.000242855
0.370243	2	4	3	34	0.000242855
0.370279	2	5	3	34	0.000278569
0.370279	2	6	3	34	0.000278569
0.370314	2	7	3	34	0.000314283
0.370314	2	8	3	34	0.000314283
0.37035	2	9	3	34	0.000349997
0.37035	2	10	3	34	0.000349997
0.370386	2	11	3	34	0.000385711
0.370386	2	12	3	34	0.000385711
0.370421	2	13	3	34	0.000421425
0.380171	2	14	3	34	0.000171427
0.380171	2	15	3	34	0.000171427
0.380207	2	2	3	34	0.000207141
0.380207	2	1	3	34	0.000207141
0.380243	2	3	3	34	0.000242855
0.380243	2	4	3	34	0.000242855
0.380279	2	5	3	34	0.000278569
0.380279	2	6	3	34	0.000278569
0.380314	2	7	3	34	0.000314283
0.380314	2	8	3	34	0.000314283
0.38035	2	9	3	34	0.000349997
0.38035	2	10	3	34	0.000349997
0.380386	2	11	3	34	0.000385711
0.380386	2	12	3	34	0.000385711
0.380421	2	13	3	34	0.000421425
0.390171	2	14	3	34	0.000171427
0.390171	2	15	3	34	0.000171427
0.390207	2	2	3	34	0.000207141
0.390207	2	1	3	34	0.000207141
0.390243	2	3	3	34	0.000242855
0.390243	2	4	3	34	0.000242855
0.390279	2	5	3	34	0.000278569
0.390279	2	6	3	34	0.000278569
0.390314	2	7	3	34	0.000314283
0.390314	2	8	3	34	0.000314283
0.39035	2	9	3	34	0.000349997
0.39035	2	10	3	34	0.000349997
0.390386	2	11	3	34	0.000385711
0.390386	2	12	3	34	0.000385711
0.390421	2	13	3	34	0.000421425
0.400171	2	14	3	34	0.000171427
0.400171	2	15	3	34	0.000171427
0.400207	2	2	3	34	0.000207141
0.400207	2	1	3	34	0.000207141
0.400243	2	3	3	34	0.000242855
0.400243	2	4	3	34	0.000242855
0.400279	2	5	3	34	0.000278569
0.400279	2	6	3	34	0.000278569
0.400314	2	7	3	34	0.000314283
0.400314	2	8	3	34	0.000314283
0.40035	2	9	3	34	0.000349997
0.40035	2	10	3	34	0.000349997
0.400386	2	11	3	34	0.000385711
0.400386	2	12	3	34	0.000385711
0.400421	2	13	3	34	0.000421425
0.410171	2	14	3	34	0.000171427
0.410171	2	15	3	34	0.000171427
0.410207	2	2	3	34	0.000207141
0.410207	2	1	3	34	0.000207141
0.410243	2	3	3	34	0.000242855
0.410243	2	4	3	34	0.000242855
0.410279	2	5	3	34	0.000278569
0.410279	2	6	3	34	0.000278569
0.410314	2	7	3	34	0.000314283
0.410314	2	8	3	34	0.000314283
0.41035	2	9	3	34	0.000349997
0.41035	2	10	3	34	0.000349997
0.410386	2	11	3	34	0.000385711
0.410386	2	12	3	34	0.000385711
0.410421	2	13	3	34	0.000421425
0.420171	2	14	3	34	0.000171427
0.420171	2	15	3	34	0.000171427
0.420207	2	2	3	34	0.000207141
0.420207	2	1	3	34	0.000207141
0.420243	2	3	3	34	0.000242855
0.420243	2	4	3	34	0.000242855
0.420279	2	5	3	34	0.000278569
0.420279	2	6	3	34	0.000278569
0.420314	2	7	3	34	0.000314283
0.420314	2	8	3	34	0.000314283
0.42035	2	9	3	34	0.000349997
0.42035	2	10	3	34	0.000349997
0.420386	2	11	3	34	0.000385711
0.420386	2	12	3	34	0.000385711
0.420421	2	13	3	34	0.000421425
0.430171	2	14	3	34	0.000171427
0.430171	2	15	3	34	0.000171427
0.430207	2	2	3	34	0.000207141
0.430207	2	1	3	34	0.000207141
0.430243	2	3	3	34	0.000242855
0.430243	2	4	3	34	0.000242855
0.430279	2	5	3	34	0.000278569
0.430279	2	6	3	34	0.000278569
0.430314	2	7	3	34	0.000314283
0.430314	2	8	3	34	0.000314283
0.43035	2	9	3	34	0.000349997
0.43035	2	10	3	34	0.000349997
0.430386	2	11	3	34	0.000385711
0.430386	2	12	3	34	0.000385711
0.430421	2	13	3	34	0.000421425
0.440171	2	14	3	34	0.000171427
0.440171	2	15	3	34	0.000171427
0.440207	2	2	3	34	0.000207141
0.440207	2	1	3	34	0.000207141
0.440243	2	3	3	34	0.000242855
0.440243	2	4	3	34	0.000242855
0.440279	2	5	3	34	0.000278569
0.440279	2	6	3	34	0.000278569
0.440314	2	7	3	34	0.000314283
0.440314	2	8	3	34	0.000314283
0.44035	2	9	3	34	0.000349997
0.44035	2	10	3	34	0.000349997
0.440386	2	11	3	34	0.000385711
0.440386	2	12	3	34	0.000385711
0.440421	2	13	3	34	0.000421425
0.450171	2	14	3	34	0.000171427
0.450171	2	15	3	34	0.000171427
0.450207	2	2	3	34	0.000207141
0.450207	2	1	3	34	0.000207141
0.450243	2	3	3	34	0.000242855
0.450243	2	4	3	34	0.000242855
0.450279	2	5	3	34	0.000278569
0.450279	2	6	3	34	0.000278569
0.450314	2	7	3	34	0.000314283
0.450314	2	8	3	34	0.000314283
0.45035	2	9	3	34	0.000349997
0.45035	2	10	3	34	0.000349997
0.450386	2	11	3	34	0.000385711
0.450386	2	12	3	34	0.000385711
0.450421	2	13	3	34	0.000421425
0.460171	2	14	3	34	0.000171427
0.460171	2	15	3	34	0.000171427
0.460207	2	2	3	34	0.000207141
0.460207	2	1	3	34	0.000207141
0.460243	2	3	3	34	0.000242855
0.460243	2	4	3	34	0.000242855
0.460279	2	5	3	34	0.000278569
0.460279	2	6	3	34	0.000278569
0.460314	2	7	3	34	0.000314283
0.460314	2	8	3	34	0.000314283
0.46035	2	9	3	34	0.000349997
0.46035	2	10	3	34	0.000349997
0.460386	2	11	3	34	0.000385711
0.460386	2	12	3	34	0.000385711
0.460421	2	13	3	34	0.000421425
0.470171	2	14	3	34	0.000171427
0.470171	2	15	3	34	0.000171427
0.470207	2	2	3	34	0.000207141
0.470207	2	1	3	34	0.000207141
0.470243	2	3	3	34	0.000242855
0.470243	2	4	3	34	0.000242855
0.470279	2	5	3	34	0.000278569
0.470279	2	6	3	34	0.000278569
0.470314	2	7	3	34	0.000314283
0.470314	2	8	3	34	0.000314283
0.47035	2	9	3	34	0.000349997
0.47035	2	10	3	34	0.000349997
0.470386	2	11	3	34	0.000385711
0.470386	2	12	3	34	0.000385711
0.470421	2	13	3	34	0.000421425
0.480171	2	14	3	34	0.000171427
0.480171	2	15	3	34	0.000171427
0.480207	2	2	3	34	0.000207141
0.480207	2	1	3	34	0.000207141
0.480243	2	3	3	34	0.000242855
0.480243	2	4	3	34	0.000242855
0.480279	2	5	3	34	0.000278569
0.480279	2	6	3	34	0.000278569
0.480314	2	7	3	34	0.000314283
0.480314	2	8	3	34	0.000314283
0.48035	2	9	3	34	0.000349997
0.48035	2	10	3	34	0.000349997
0.480386	2	11	3	34	0.000385711
