Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	MsgType
0	ENB PHY Txed	0	0	0	2	0	0	MIB
0.005	ENB PHY Txed	0	5	0	2	0	0	SIB1
0.01	ENB PHY Txed	1	0	0	2	0	0	MIB
0.015	ENB PHY Txed	1	5	0	2	0	0	SIB1
0.018	ENB PHY Txed	1	8	0	2	0	0	RAR
0.02	ENB PHY Txed	2	0	0	2	0	0	MIB
0.025	ENB PHY Txed	2	5	0	2	0	0	SIB1
0.03	ENB PHY Txed	3	0	0	2	0	0	MIB
0.035	ENB PHY Txed	3	5	0	2	0	0	SIB1
0.04	ENB PHY Txed	4	0	0	2	0	0	MIB
0.045	ENB PHY Txed	4	5	0	2	0	0	SIB1
0.05	ENB PHY Txed	5	0	0	2	0	0	MIB
0.055	ENB PHY Txed	5	5	0	2	0	0	SIB1
0.06	ENB PHY Txed	6	0	0	2	0	0	MIB
0.065	ENB PHY Txed	6	5	0	2	0	0	SIB1
0.07	ENB PHY Txed	7	0	0	2	0	0	MIB
0.075	ENB PHY Txed	7	5	0	2	0	0	SIB1
0.08	ENB PHY Txed	8	0	0	2	0	0	MIB
0.085	ENB PHY Txed	8	5	0	2	0	0	SIB1
0.09	ENB PHY Txed	9	0	0	2	0	0	MIB
0.095	ENB PHY Txed	9	5	0	2	0	0	SIB1
0.1	ENB PHY Txed	10	0	0	2	0	0	MIB
0.1025	ENB PHY Txed	10	2	1	2	0	0	UL_UCI
0.1025	ENB PHY Txed	10	2	1	2	0	0	UL_UCI
0.1025	ENB PHY Txed	10	2	1	2	0	0	UL_UCI
0.1025	ENB PHY Txed	10	2	1	2	0	0	UL_UCI
0.1025	ENB PHY Txed	10	2	1	2	0	0	UL_UCI
0.1025	ENB PHY Txed	10	2	1	2	0	0	UL_UCI
0.1025	ENB PHY Txed	10	2	1	2	0	0	UL_UCI
0.1025	ENB PHY Txed	10	2	1	2	0	0	UL_UCI
0.1025	ENB PHY Txed	10	2	1	2	0	0	UL_UCI
0.1025	ENB PHY Txed	10	2	1	2	0	0	UL_UCI
0.1025	ENB PHY Txed	10	2	1	2	0	0	UL_UCI
0.1025	ENB PHY Txed	10	2	1	2	0	0	UL_UCI
0.1025	ENB PHY Txed	10	2	1	2	0	0	UL_UCI
0.1025	ENB PHY Txed	10	2	1	2	0	0	UL_UCI
0.1025	ENB PHY Txed	10	2	1	2	0	0	UL_UCI
0.105	ENB PHY Txed	10	5	0	2	0	0	SIB1
0.11	ENB PHY Txed	11	0	0	2	0	0	MIB
0.115	ENB PHY Txed	11	5	0	2	0	0	SIB1
0.12	ENB PHY Txed	12	0	0	2	0	0	MIB
0.125	ENB PHY Txed	12	5	0	2	0	0	SIB1
0.13	ENB PHY Txed	13	0	0	2	0	0	MIB
0.135	ENB PHY Txed	13	5	0	2	0	0	SIB1
0.14	ENB PHY Txed	14	0	0	2	0	0	MIB
0.145	ENB PHY Txed	14	5	0	2	0	0	SIB1
0.15	ENB PHY Txed	15	0	0	2	0	0	MIB
0.155	ENB PHY Txed	15	5	0	2	0	0	SIB1
0.159	ENB PHY Txed	15	9	0	2	0	0	UL_UCI
0.159	ENB PHY Txed	15	9	0	2	0	0	UL_UCI
0.159	ENB PHY Txed	15	9	0	2	0	0	UL_UCI
0.159	ENB PHY Txed	15	9	0	2	0	0	UL_UCI
0.159	ENB PHY Txed	15	9	0	2	0	0	UL_UCI
0.159	ENB PHY Txed	15	9	0	2	0	0	UL_UCI
0.159	ENB PHY Txed	15	9	0	2	0	0	UL_UCI
0.159	ENB PHY Txed	15	9	0	2	0	0	UL_UCI
0.159	ENB PHY Txed	15	9	0	2	0	0	UL_UCI
0.159	ENB PHY Txed	15	9	0	2	0	0	UL_UCI
0.159	ENB PHY Txed	15	9	0	2	0	0	UL_UCI
0.159	ENB PHY Txed	15	9	0	2	0	0	UL_UCI
0.159	ENB PHY Txed	15	9	0	2	0	0	UL_UCI
0.159	ENB PHY Txed	15	9	0	2	0	0	UL_UCI
0.159	ENB PHY Txed	15	9	0	2	0	0	UL_UCI
