Time(sec)	CellId	BwpId	txStreamId 	IMSI	rxStreamId	pathLoss(dB)
0.0169643	1	0	0	1	0	-76.8842
0.0169643	1	0	0	2	0	-62.6137
0.0169643	1	0	0	3	0	-71.5877
0.0169643	1	0	0	4	0	-70.3369
0.0169643	1	0	0	5	0	-61.927
0.0169643	1	0	0	6	0	-73.0854
0.0169643	1	0	0	7	0	-84.5998
0.0169643	1	0	0	8	0	-60.9151
0.0169643	1	0	0	9	0	-61.7209
0.0169643	1	0	0	10	0	-69.953
0.0169643	1	0	0	11	0	-72.3059
0.0169643	1	0	0	12	0	-70.3322
0.0169643	1	0	0	13	0	-67.1333
0.0169643	1	0	0	14	0	-71.606
0.0169643	1	0	0	15	0	-55.6931
0.101464	1	0	0	1	0	-76.8842
0.101464	1	0	0	2	0	-62.6137
0.101464	1	0	0	3	0	-71.5877
0.101464	1	0	0	4	0	-70.3369
0.101464	1	0	0	5	0	-61.927
0.101464	1	0	0	6	0	-73.0854
0.101464	1	0	0	7	0	-84.5998
0.101464	1	0	0	8	0	-60.9151
0.101464	1	0	0	9	0	-61.7209
0.101464	1	0	0	10	0	-69.953
0.101464	1	0	0	11	0	-72.3059
0.101464	1	0	0	12	0	-70.3322
0.101464	1	0	0	13	0	-67.1333
0.101464	1	0	0	14	0	-71.606
0.101464	1	0	0	15	0	-55.6931
0.103536	1	0	0	12	0	-70.3322
0.103536	1	0	0	13	0	-67.1333
0.103571	1	0	0	14	0	-71.606
0.103571	1	0	0	15	0	-55.6931
0.103607	1	0	0	1	0	-76.8842
0.103607	1	0	0	2	0	-62.6137
0.103643	1	0	0	3	0	-71.5877
0.103643	1	0	0	4	0	-70.3369
0.103679	1	0	0	5	0	-61.927
0.103679	1	0	0	6	0	-73.0854
0.103714	1	0	0	7	0	-84.5998
0.103714	1	0	0	8	0	-60.9151
0.10375	1	0	0	9	0	-61.7209
0.10375	1	0	0	10	0	-69.953
0.103786	1	0	0	11	0	-72.3059
0.160036	1	0	0	12	0	-70.3322
0.160036	1	0	0	13	0	-67.1333
0.160071	1	0	0	14	0	-71.606
0.160071	1	0	0	15	0	-55.6931
0.160107	1	0	0	1	0	-76.8842
0.160107	1	0	0	2	0	-62.6137
0.160143	1	0	0	3	0	-71.5877
0.160143	1	0	0	4	0	-70.3369
0.160179	1	0	0	5	0	-61.927
0.160179	1	0	0	6	0	-73.0854
0.160214	1	0	0	7	0	-84.5998
0.160214	1	0	0	8	0	-60.9151
0.16025	1	0	0	9	0	-61.7209
0.16025	1	0	0	10	0	-69.953
0.160286	1	0	0	11	0	-72.3059
0.170036	1	0	0	12	0	-70.3322
0.170036	1	0	0	13	0	-67.1333
0.170071	1	0	0	14	0	-71.606
0.170071	1	0	0	15	0	-55.6931
0.170107	1	0	0	1	0	-76.8842
0.170107	1	0	0	2	0	-62.6137
0.170143	1	0	0	3	0	-71.5877
0.170143	1	0	0	4	0	-70.3369
0.170179	1	0	0	5	0	-61.927
0.170179	1	0	0	6	0	-73.0854
0.170214	1	0	0	7	0	-84.5998
0.170214	1	0	0	8	0	-60.9151
0.17025	1	0	0	9	0	-61.7209
0.17025	1	0	0	10	0	-69.953
0.170286	1	0	0	11	0	-72.3059
0.180036	1	0	0	12	0	-70.3322
0.180036	1	0	0	13	0	-67.1333
0.180071	1	0	0	14	0	-71.606
0.180071	1	0	0	15	0	-55.6931
0.180107	1	0	0	1	0	-76.8842
0.180107	1	0	0	2	0	-62.6137
0.180143	1	0	0	3	0	-71.5877
0.180143	1	0	0	4	0	-70.3369
0.180179	1	0	0	5	0	-61.927
0.180179	1	0	0	6	0	-73.0854
0.180214	1	0	0	7	0	-84.5998
0.180214	1	0	0	8	0	-60.9151
0.18025	1	0	0	9	0	-61.7209
